symbol,security_id,segment
BIOFILCHEM,4136,NSE_EQ
BIRLACORPN,480,NSE_EQ
BIRLAMONEY,15239,NSE_EQ
BIRLANU,1455,NSE_EQ
BLACKBUCK,27144,NSE_EQ
BLAL,15067,NSE_EQ
BLBLIMITED,8132,NSE_EQ
BLEL,765291,NSE_EQ
BLIL,762603,NSE_EQ
BLKASHYAP,13290,NSE_EQ
BLS,17279,NSE_EQ
BLSE,22566,NSE_EQ
BLUECLOUDS,765040,NSE_EQ
BLUEDART,495,NSE_EQ
BLUEJET,19686,NSE_EQ
BLUESTARCO,8311,NSE_EQ
BLUESTONE,759291,NSE_EQ
BLUSPRING,757520,NSE_EQ
BMWVENTLTD,759256,NSE_EQ
BNAGROCHEM,762608,NSE_EQ
BOHRAIND,11640,NSE_EQ
BOMDYEING,513,NSE_EQ
BONLON,761056,NSE_EQ
BORANA,757919,NSE_EQ
BOROLTD,19401,NSE_EQ
BORORENEW,3149,NSE_EQ
BOROSCI,24014,NSE_EQ
BOSCH-HCIL,4491,NSE_EQ
BOSCHLTD,2181,NSE_EQ
BPCL,526,NSE_EQ
BPL,530,NSE_EQ
BPLPHARMA,764623,NSE_EQ
BRAHMINFRA,764628,NSE_EQ
BRIGADE,15184,NSE_EQ
BRIGHOTEL,757794,NSE_EQ
BRIGHTBR,764633,NSE_EQ
BRITANNIA,547,NSE_EQ
BRNL,21683,NSE_EQ
BSE,19585,NSE_EQ
BSHSL,809,NSE_EQ
BSL,559,NSE_EQ
BSOFT,6994,NSE_EQ
BTML,14150,NSE_EQ
BUILDPRO,760594,NSE_EQ
BUTTERFLY,2716,NSE_EQ
BVCL,15073,NSE_EQ
CAMLINFINE,6216,NSE_EQ
CAMPUS,9362,NSE_EQ
CAMS,342,NSE_EQ
CANBK,10794,NSE_EQ
CANFINHOME,583,NSE_EQ
CANHLIFE,759477,NSE_EQ
CANTABIL,20160,NSE_EQ
CAPACITE,21749,NSE_EQ
CAPILLARY,759867,NSE_EQ
CAPITALSFB,22675,NSE_EQ
CAPLIPOINT,3906,NSE_EQ
CARBORUNIV,595,NSE_EQ
CARERATING,29113,NSE_EQ
CARRARO,28879,NSE_EQ
CARTRADE,5407,NSE_EQ
CARYSIL,1879,NSE_EQ
CASTROLIND,1250,NSE_EQ
CCAVENUE,16249,NSE_EQ
CCCL,14992,NSE_EQ
CCHHL,6385,NSE_EQ
CCL,11452,NSE_EQ
CDSL,21174,NSE_EQ
CEATLTD,15254,NSE_EQ
CEIGALL,24742,NSE_EQ
CEINSYS,761037,NSE_EQ
CELEBRITY,13162,NSE_EQ
CELLO,19795,NSE_EQ
CEMPRO,5622,NSE_EQ
CENTENKA,619,NSE_EQ
CENTEXT,11511,NSE_EQ
CENTRALBK,14894,NSE_EQ
CENTRUM,2454,NSE_EQ
CENTUM,14982,NSE_EQ
CENTURYPLY,13305,NSE_EQ
CERA,15039,NSE_EQ
CESC,628,NSE_EQ
CEWATER,28764,NSE_EQ
CGCL,20329,NSE_EQ
CGPOWER,760,NSE_EQ
CGVAK,764643,NSE_EQ
CHALET,8546,NSE_EQ
CHAMBLFERT,637,NSE_EQ
CHEMBOND,14618,NSE_EQ
CHEMCRUX,765045,NSE_EQ
CHEMFAB,2799,NSE_EQ
CHEMPLASTS,5449,NSE_EQ
CHENNPETRO,2049,NSE_EQ
CHEVIOT,9879,NSE_EQ
CHOICEIN,8866,NSE_EQ
CHOLAFIN,685,NSE_EQ
CHOLAHLDNG,21740,NSE_EQ
CIEINDIA,14937,NSE_EQ
CIFL,756015,NSE_EQ
CINELINE,27161,NSE_EQ
CINEVISTA,8024,NSE_EQ
CIPLA,694,NSE_EQ
CLEAN,5049,NSE_EQ
CLEANMAX,760183,NSE_EQ
CLSEL,3482,NSE_EQ
CMLL,764255,NSE_EQ
CMPDI,761581,NSE_EQ
CMRGREEN,30893,NSE_EQ
CMSINFO,7603,NSE_EQ
CNL,11155,NSE_EQ
COALINDIA,20374,NSE_EQ
COASTCORP,6006,NSE_EQ
COCHINSHIP,21508,NSE_EQ
COCKERILL,762623,NSE_EQ
COFORGE,11543,NSE_EQ
COHANCE,17945,NSE_EQ
COLPAL,15141,NSE_EQ
COMFINTE,762628,NSE_EQ
COMPEAU,764648,NSE_EQ
COMPUSOFT,31138,NSE_EQ
COMSYN,21578,NSE_EQ
CONCOR,4749,NSE_EQ
CONCORDBIO,18060,NSE_EQ
CONFIPET,10238,NSE_EQ
CONTROLPR,17477,NSE_EQ
CORALFINAC,4007,NSE_EQ
CORDELIA,762163,NSE_EQ
COROMANDEL,739,NSE_EQ
CORONA,760254,NSE_EQ
COSMOFIRST,742,NSE_EQ
CPCAP,20086,NSE_EQ
CPEDU,758941,NSE_EQ
CPL,764203,NSE_EQ
CPPLUS,758858,NSE_EQ
CRAFTSMAN,2854,NSE_EQ
CRAMC,759311,NSE_EQ
CRAVATEX,764653,NSE_EQ
CREATIVEYE,9384,NSE_EQ
CREDITACC,4421,NSE_EQ
CREST,13900,NSE_EQ
CRISIL,757,NSE_EQ
CRIZAC,757850,NSE_EQ
CROMPTON,17094,NSE_EQ
CROWN,8083,NSE_EQ
CSBBANK,14966,NSE_EQ
CSLFINANCE,10350,NSE_EQ
CSM,763753,NSE_EQ
CUB,5701,NSE_EQ
CUBEXTUB,4064,NSE_EQ
CUMMINSIND,1901,NSE_EQ
CUPID,18520,NSE_EQ
CYIENT,5748,NSE_EQ
CYIENTDLM,17187,NSE_EQ
DABUR,772,NSE_EQ
DALBHARAT,8075,NSE_EQ
DALMIASUG,781,NSE_EQ
DAMCAPITAL,28662,NSE_EQ
DANGEE,1110,NSE_EQ
DATAMATICS,11423,NSE_EQ
DATAPATTNS,7358,NSE_EQ
DAVANGERE,21794,NSE_EQ
DBCORP,17881,NSE_EQ
DBL,18086,NSE_EQ
DBOL,10893,NSE_EQ
DBREALTY,18124,NSE_EQ
DCAL,21704,NSE_EQ
DCBBANK,13725,NSE_EQ
DCI,11566,NSE_EQ
DCMFINSERV,4775,NSE_EQ
DCMNVL,11039,NSE_EQ
DCMSHRIRAM,811,NSE_EQ
DCMSIL,760896,NSE_EQ
DCMSRIND,7325,NSE_EQ
DCW,817,NSE_EQ
DCXINDIA,11895,NSE_EQ
DDEVPLSTIK,29098,NSE_EQ
DECCANCE,14838,NSE_EQ
DECNGOLD,762638,NSE_EQ
DEEDEV,24154,NSE_EQ
DEEPAKFERT,827,NSE_EQ
